City,PM2.5,PM10,NO2,SO2,CO,O3,AQI
Delhi,153.3,241.7,33.0,64.5,1.87,83.6,204.5
Mumbai,70.5,312.7,42.0,83.8,7.22,108.0,60.9
Chennai,174.1,275.4,68.8,60.8,8.56,43.9,486.5
Kolkata,477.2,543.9,76.4,42.1,2.41,171.1,174.4
Bangalore,171.6,117.7,12.4,79.7,1.26,164.3,489.7
Delhi,344.2,173.2,128.4,7.5,6.28,9.4,238.5
Mumbai,59.2,335.7,143.8,6.4,5.81,145.5,254.9
Chennai,418.9,573.8,17.5,9.5,4.49,198.7,171.7
Kolkata,329.8,599.3,34.0,63.4,3.63,111.2,139.8
Bangalore,22.5,317.5,62.4,59.7,0.0,49.8,243.3
Delhi,473.9,20.1,102.7,29.8,0.04,42.0,77.6
Mumbai,191.0,200.5,141.3,89.0,8.54,129.8,37.9
Chennai,86.6,531.8,92.8,9.9,1.12,45.5,394.8
Kolkata,393.0,422.5,112.1,3.7,5.72,60.8,491.8
Bangalore,269.3,69.9,107.3,12.8,7.44,119.4,148.5
Delhi,32.4,414.8,25.6,50.4,2.47,80.2,85.4
Mumbai,177.3,30.8,149.3,30.7,8.63,75.7,78.5
Chennai,417.0,361.9,145.1,11.4,6.22,14.4,286.1
Kolkata,392.0,70.4,127.9,51.4,5.02,105.6,119.5
Bangalore,56.1,295.7,146.1,59.1,6.47,109.1,423.3
Delhi,312.8,155.8,106.8,2.0,4.04,101.3,396.8
Mumbai,335.4,582.7,37.2,91.6,6.83,30.9,30.7
Chennai,123.3,126.0,140.7,68.7,9.55,166.5,108.8
Kolkata,298.2,515.0,101.8,19.4,4.17,197.7,473.1
Bangalore,263.8,321.1,40.5,56.2,7.3,14.2,119.5
Delhi,390.7,91.4,131.8,84.1,1.17,177.5,360.3
Mumbai,162.6,202.8,49.4,23.7,9.6,60.1,496.9
Chennai,179.9,275.3,13.9,98.0,7.44,148.0,387.9
Kolkata,191.5,560.1,4.5,23.2,8.89,35.5,15.0
Bangalore,432.2,500.7,80.8,90.4,0.34,113.1,120.7
Delhi,282.3,420.9,134.7,15.7,1.15,85.2,370.3
